query_id	hit_id	hit_acc	hit_title	hit_sci_names	hit_tax_ids	hit_super_kingdoms	hit_blast_names	pct_identity	hit_length	alignment_length	mismatches	gap_opens	query_start	query_end	hit_start	hit_end	evalue	bit_score	hit_rank	kingdom	supergroup	division	class	order	family	genus	species	uncultured	tax_organism	tax_lineage
RCC5210	gi|156255426|gb|EU090013.1|	EU090013	Chaetoceros neogracile strain ArM0004 small subunit ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	1750	898	0	0	1	898	618	1515	0	1659	1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_neogracile	FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|156255427|gb|EU090014.1|	EU090014	Chaetoceros sp. ArM0005 small subunit ribosomal RNA gene, partial sequence	Chaetoceros sp. ArM0005	463619	Eukaryota	diatoms	100	1758	898	0	0	1	898	618	1515	0	1659	2	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_neogracile	FALSE	Chaetoceros sp. ArM0005	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; unclassified Chaetoceros; 
RCC5210	gi|291555996|emb|FN690614.1|	FN690614	Uncultured stramenopile partial 18S rRNA gene, clone 4-E1	uncultured stramenopile	152704	Eukaryota	eukaryotes	100	1681	898	0	0	1	898	567	1464	0	1659	3	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291556020|emb|FN690638.1|	FN690638	Uncultured stramenopile partial 18S rRNA gene, clone 7-G10	uncultured stramenopile	152704	Eukaryota	eukaryotes	100	1690	898	0	0	1	898	570	1467	0	1659	4	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|379030736|gb|JN934684.1|	JN934684	Chaetoceros cf. neogracilis clade II strain RCC2318 18S ribosomal RNA gene, partial sequence	Chaetoceros cf. neogracilis clade II	1922284	Eukaryota	diatoms	100	1620	898	0	0	1	898	539	1436	0	1659	5	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_neogracile	FALSE	Chaetoceros cf. neogracilis clade II	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|409178091|gb|JQ955867.1|	JQ955867	Uncultured eukaryote clone AN0830_9A1C 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	100	989	898	0	0	1	898	8	905	0	1659	6	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|409178277|gb|JQ956053.1|	JQ956053	Uncultured eukaryote clone CB432L01 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	100	975	898	0	0	1	898	5	902	0	1659	7	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|409178280|gb|JQ956056.1|	JQ956056	Uncultured eukaryote clone CB432L04 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	100	964	898	0	0	1	898	5	902	0	1659	8	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|409178436|gb|JQ956212.1|	JQ956212	Uncultured eukaryote clone AN0658_19L4B 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	100	957	898	0	0	1	898	8	905	0	1659	9	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|409178440|gb|JQ956216.1|	JQ956216	Uncultured eukaryote clone AN0658_19L5F 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	100	918	898	0	0	1	898	8	905	0	1659	10	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
